	x	y	gene	sig	fc	cluster
ZSCAN1	-6.245826453	-9.157537984	ZSCAN1	0	-0.472414313	5
SRF	-5.349759891	-11.54614117	SRF	0	0.137892564	3
ANK1	15.7822955	16.13659508	ANK1	0	-0.553349606	2
BBOF1	3.27613952	2.091064936	BBOF1	0	0.244627434	14
GRB10	8.377591176	13.18814684	GRB10	0	-0.198102567	11
ZNF227	-2.227141827	-4.222271109	ZNF227	0	0.250870975	2
ITGB5	-8.50715755	4.373341479	ITGB5	0	0.777953145	2
DOCK4	9.193790316	18.3493835	DOCK4	0	-0.289371875	2
GNAT1	-7.279067276	-15.98009695	GNAT1	0	-0.725728483	2
MAP3K12	1.026374641	-5.036461824	MAP3K12	0	-0.204189773	2
PPEF1	-2.69369961	6.116776727	PPEF1	0	-0.377037914	5
PCDHB15	-7.957258888	-10.02979604	PCDHB15	0	-0.831246273	19
PANO1	-12.65110255	-8.848235379	PANO1	0	-0.310435084	14
TRPV1	-4.704145515	-4.495430948	TRPV1	0	-0.235863725	15
SMPD2	-9.836793254	-9.484361119	SMPD2	0	-0.272564297	25
METTL1	-8.263481953	-11.49495819	METTL1	0	0.339728438	3
TMEM170B	10.74881479	5.921250499	TMEM170B	0	-0.19827134	19
MRPL37	-0.999261178	-10.60361082	MRPL37	0	0.177285636	5
ATP13A5	-9.997694015	5.030791539	ATP13A5	0	-0.712825294	3
MBNL2	8.654384439	17.59661776	MBNL2	0	0.505184539	6
TRIM2	8.956954404	17.72360898	TRIM2	0	-0.257787086	1
ABHD6	5.834024084	9.397936839	ABHD6	0	-0.247088806	19
SLC35E2B	-0.465744941	0.516568684	SLC35E2B	0	-0.420883853	11
COPS7A	1.826631567	-8.460054524	COPS7A	0	-0.206873425	1
WDR77	-2.192074565	-13.53509885	WDR77	0	-0.335004608	3
PCF11	6.864387059	1.32799906	PCF11	0	0.246054611	8
ECM1	-9.648990881	-0.088557508	ECM1	0	-0.416636459	6
KANK1	-4.030689813	8.860506564	KANK1	0	0.46630363	7
EMC6	5.218206677	-9.454435731	EMC6	0	0.419207387	3
TXNDC11	4.7812665	2.107594245	TXNDC11	0	0.236723863	3
NPIPB13	-14.08010794	-10.57874576	NPIPB13	0	-0.616895305	2
HIPK3	8.74180539	6.63326666	HIPK3	0	-0.184042827	13
ZNF341	-0.866660669	-2.336309794	ZNF341	0	-0.307825084	7
PDE12	-1.569934902	-5.991439598	PDE12	0	0.313324294	17
RPL12	10.59170949	-8.637702977	RPL12	0	0.256249742	4
EEF1AKMT1	0.311244837	-2.80972785	EEF1AKMT1	0	-0.38998002	11
TSPAN1	-8.483353491	-10.46483893	TSPAN1	0	-0.495842281	2
FAM181B	-13.49845452	0.159157405	FAM181B	0	0.776029707	2
PXDC1	-10.98519768	-0.759396348	PXDC1	0	0.2740135	3
ZFP64	2.016891786	4.68035552	ZFP64	0	0.202875432	4
PCP4	0.098049261	10.88113595	PCP4	0	-0.717992026	9
USP30	4.528178617	0.115232039	USP30	0	0.181003517	5
ACP6	-3.362478349	2.981062616	ACP6	0	0.411311174	23
TRANK1	8.501686963	9.638411124	TRANK1	0	-0.605164397	2
SCN2B	6.219154823	-4.419331184	SCN2B	0	-0.983051811	3
IRX6	-10.97719485	-2.31851308	IRX6	0	-1.179549285	5
PLEKHA6	8.419723305	13.21795099	PLEKHA6	0	-0.208588113	7
PHF11	-3.39448422	-2.092017676	PHF11	0	0.76601292	19
ABCA7	0.886300055	-5.657268753	ABCA7	0	-0.41331048	15
UNC5CL	-11.94517413	-10.44610979	UNC5CL	0	0.481738062	9
FBXO36	3.576661982	2.182088494	FBXO36	0	0.456924599	26
WDR7	10.34987384	16.01692639	WDR7	0	-0.20212116	13
CCT4	8.781498552	-3.710915725	CCT4	0	0.235240335	14
PHC3	10.42387609	13.59983868	PHC3	0	0.390927274	6
GAD2	16.27044649	16.35126484	GAD2	0	-0.324417303	11
NAA16	9.800538044	7.393017785	NAA16	0	0.384611113	3
ZNF548	-7.408276802	-15.57032436	ZNF548	0	-0.1973076	14
USP49	7.902438273	7.678966358	USP49	0	0.206823634	3
PSMB10	-9.925174363	-14.51186146	PSMB10	0	-0.333131121	9
TTC5	5.556361523	2.304681335	TTC5	0	0.190069222	19
CCDC28A	7.476199377	0.638284039	CCDC28A	0	0.43889345	5
ZNF808	-4.535853049	-5.04182695	ZNF808	0	0.594229761	10
ISM2	-10.32428527	-2.496766842	ISM2	0	-0.690288889	10
CRIP1	-14.6653511	-1.726453943	CRIP1	0	0.998605955	11
METTL4	0.152676844	-2.965581442	METTL4	0	0.254879525	10
PI4K2A	-0.225482118	-3.87623266	PI4K2A	0	0.317916414	1
ZNF888	-10.9623625	-8.52215384	ZNF888	0	0.362916485	4
FBXO38	7.840472794	3.124361336	FBXO38	0	0.191629489	3
SMAGP	-15.00866427	-7.570765263	SMAGP	0	0.484591156	4
PKD1	7.611889554	12.07540131	PKD1	0	-0.314267488	19
CREB3L1	-10.34398651	-0.594313977	CREB3L1	0	-0.256924629	14
COTL1	-7.741682858	2.261404212	COTL1	0	0.259961191	10
PABPC3	-14.27031607	-10.62957452	PABPC3	0	0.585804267	1
SMPD4	-1.233328726	0.915273742	SMPD4	0	0.184751863	1
KIZ	8.894179473	12.1627966	KIZ	0	0.354995425	2
ALG5	5.805355293	-0.133705981	ALG5	0	0.186952717	8
MIR1914	3.079501341	9.421328766	MIR1914	0	-0.6432614	1
CYP27A1	-6.38166603	6.833903773	CYP27A1	0	0.45910395	3
KTN1	11.8565312	13.75944246	KTN1	0	0.193923635	11
TNFSF12	-4.596910531	-14.29806249	TNFSF12	0	-0.718306356	18
SDHAF1	-8.640275368	-13.32892055	SDHAF1	0	0.206987381	10
ACTN1	6.971324769	12.61769078	ACTN1	0	0.19960525	10
VPS37D	-7.402887132	-13.33114863	VPS37D	0	-0.213312719	17
TDG	8.956579697	0.295855584	TDG	0	0.316005674	6
SLC17A6	-5.751379675	4.340985909	SLC17A6	0	-1.051958916	5
EDNRA	-8.297295765	2.672021469	EDNRA	0	-0.786701117	3
KLF8	-1.154469297	-1.373537123	KLF8	0	0.83352255	4
TRIM58	-8.378424012	-2.023895456	TRIM58	0	0.761166903	2
KISS1	-12.63044554	-6.054850867	KISS1	0	-0.795444415	6
GRIK3	-1.777229239	9.111145166	GRIK3	0	-0.337642867	5
RBM12B	6.311297364	0.79020115	RBM12B	0	0.372554787	7
KCTD8	9.438075772	18.75065325	KCTD8	0	1.119928446	10
DMXL1	9.773346139	14.98058561	DMXL1	0	0.216671469	10
MSRB3	1.376616965	9.422440345	MSRB3	0	-0.334759373	9
RASGEF1B	15.47352062	13.1322156	RASGEF1B	0	-0.28255532	18
BAP1	-4.750922623	-12.10074607	BAP1	0	0.089471394	3
ZNF436-AS1	-5.423529085	-7.976517613	ZNF436-AS1	0	0.282612034	7
GREB1L	14.95896881	15.06471783	GREB1L	0	-0.322723333	12
MAPK15	-8.803675074	-1.260445618	MAPK15	0	0.98796548	3
LRRC57	-6.95178156	-16.88517912	LRRC57	0	0.335473287	2
NIN	11.83766739	16.61014269	NIN	0	0.2943867	22
COL24A1	4.672406936	11.740419	COL24A1	0	-0.843418606	11
WDR45	-0.664102382	-10.627725	WDR45	0	-0.247426026	7
RAB9B	-0.525821326	1.622594673	RAB9B	0	-0.369072203	9
ASIC3	-6.09098859	-10.55908464	ASIC3	0	-0.365922147	3
PIGP	-0.237853189	-11.65267271	PIGP	0	-0.304764572	2
RNF213	-0.146586274	6.491673669	RNF213	0	0.345474296	19
CLCN3	11.86863535	11.62074167	CLCN3	0	0.170418157	22
ALMS1	10.0404208	10.57587413	ALMS1	0	0.183767237	2
OGFOD1	4.118643206	-1.056045779	OGFOD1	0	0.208744534	10
AMIGO1	-4.439358089	-12.9227092	AMIGO1	0	-0.180926861	1
EPB41L5	9.589526561	9.715937137	EPB41L5	0	0.205830636	1
PTPRCAP	-13.87867947	-8.818440778	PTPRCAP	0	-0.485766977	4
WDR6	-6.333961699	-1.725800984	WDR6	0	0.129825122	5
COL8A2	-12.55670488	-4.409040246	COL8A2	0	-0.553803776	19
RHBDD2	10.49620521	-3.988027051	RHBDD2	0	0.207944208	19
USP18	-11.80073921	-7.7673682	USP18	0	0.688694259	1
PCDH1	1.739083532	-0.80840082	PCDH1	0	-0.381328317	19
GOT1	9.670532974	-4.904701042	GOT1	0	-0.18693773	6
NRBF2	-0.565760545	-10.57096096	NRBF2	0	0.289711726	10
HARS2	-4.898659189	-8.31198535	HARS2	0	0.14342812	5
RAB8B	2.015096483	7.603593864	RAB8B	0	0.213838757	4
UBXN4	11.88023507	11.72211347	UBXN4	0	0.234956318	3
SEPTIN5	-1.00536304	3.9176045	SEPTIN5	0	-0.463207499	3
PCDH15	14.52450988	17.27579383	PCDH15	0	-0.474109104	4
ZSCAN31	3.285964558	6.122029567	ZSCAN31	0	0.270825662	10
SLC38A5	-14.49642344	-1.476191697	SLC38A5	0	-0.49807761	14
B3GNTL1	-0.750296166	-1.730645788	B3GNTL1	0	-0.523662217	10
B3GNT8	-2.626344408	-14.57682928	B3GNT8	0	0.757119461	2
PPIB	4.306211095	-10.75587667	PPIB	0	0.239775293	9
DPP8	9.043759357	7.267791842	DPP8	0	0.210601871	3
TTC13	10.68890539	9.361121413	TTC13	0	-0.176903375	3
ZNF304	-5.175737937	-11.34836221	ZNF304	0	0.251407914	10
FAM89B	-0.485762761	-9.257198552	FAM89B	0	-0.274570322	1
LINC00869	-0.854592161	4.467404068	LINC00869	0	-0.23518528	6
PROC	-11.7413586	-13.46440165	PROC	0	-0.430955425	5
TRNT1	6.640551954	-0.917144502	TRNT1	0	-0.197065096	3
ADORA2A-AS1	-10.43083206	-2.974657031	ADORA2A-AS1	0	1.013249667	9
KDM5B	7.595263819	9.986864826	KDM5B	0	0.132550516	6
RTN4R	-3.069025994	0.391704685	RTN4R	0	0.302619028	6
TOX2	-1.133412749	10.27711432	TOX2	0	-0.384958565	5
SYBU	12.01941208	16.3348348	SYBU	0	-0.332327684	11
ZNF513	-4.689940689	-10.80191241	ZNF513	0	-0.198092052	1
HEXIM2	-2.60163689	-12.84797113	HEXIM2	0	-0.327149574	8
PPME1	10.47511648	8.811035261	PPME1	0	-0.15189286	9
CRYGC	-12.20530406	-0.580261487	CRYGC	0	0.598762547	6
TNFAIP8	-9.32103784	4.594616748	TNFAIP8	0	-0.781752981	7
C1GALT1C1	-1.009396093	-12.99837662	C1GALT1C1	0	0.227559919	4
DHX37	-7.760870508	-9.171068734	DHX37	0	0.197522266	9
IFT80	6.775295202	10.11628204	IFT80	0	0.266815333	6
GFM1	8.839811897	2.419475479	GFM1	0	0.165995936	5
WHRN	-3.2318955	6.890190658	WHRN	0	-0.297283859	7
MATN3	-6.401642184	2.964261328	MATN3	0	-0.554477851	18
PTPRF	4.244470764	6.256599204	PTPRF	0	0.192499069	5
MATN2	-6.079199513	5.453859816	MATN2	0	-0.470736687	7
CACNG1	-12.61939178	-8.42778052	CACNG1	0	0.456923597	9
MYO3B	-4.271052205	6.079956024	MYO3B	0	0.542812493	2
SH3RF1	5.083375829	14.17682974	SH3RF1	0	0.421374489	7
ODAD3	-10.44308771	-6.862946277	ODAD3	0	0.435133821	4
THBS2	-12.49429722	-0.063970842	THBS2	0	0.35077855	10
KIRREL1	-4.126516136	6.295147891	KIRREL1	0	-0.34734195	10
IPO9	9.712143022	9.70868683	IPO9	0	-0.129262767	7
USP21	-13.47444949	-10.80836934	USP21	0	0.150764137	13
NAT14	2.987129605	-7.970190935	NAT14	0	-0.268525353	17
DGCR8	0.868487686	-1.991630203	DGCR8	0	-0.265420424	15
ZMYM4	10.49224438	13.59896841	ZMYM4	0	-0.123023169	2
RSRC1	9.460885805	10.48107412	RSRC1	0	0.282823801	15
SIL1	9.586317969	12.25457265	SIL1	0	0.296742465	9
RARA	-5.528716703	-3.637577585	RARA	0	0.238539633	13
CNNM4	-3.912277332	-3.82460572	CNNM4	0	-0.380497913	5
COX11	7.691734145	0.623358386	COX11	0	0.147007264	2
WDR44	8.774963615	6.121724122	WDR44	0	0.508180514	6
NUDT10	-5.672818812	-13.801289	NUDT10	0	-0.14735951	1
POLR3H	0.701980434	-10.71438301	POLR3H	0	-0.284253365	2
GATA5	-12.67988876	-7.910314174	GATA5	0	0.861764299	5
FAM135B	12.85313514	17.94829613	FAM135B	0	-2.568239278	5
SNX31	2.305701534	1.930390639	SNX31	0	0.76083879	4
CNTN4	11.35227627	19.20530944	CNTN4	0	-0.781869794	4
SMIM1	-13.88129407	-12.14728802	SMIM1	0	0.625252432	7
AGGF1	-1.320289091	1.782912953	AGGF1	0	0.145024538	2
PSMC3IP	-14.74128028	-6.190903367	PSMC3IP	0	0.180968806	1
INSYN2B	1.402013878	9.121368211	INSYN2B	0	0.430111839	14
PCMTD1	11.13098771	13.87871629	PCMTD1	0	0.239061898	1
QDPR	3.20133209	13.97312277	QDPR	0	-0.316822515	3
PHKA2	2.482754937	1.124308076	PHKA2	0	-0.224239345	12
DPP7	10.65401416	-0.127472325	DPP7	0	0.381782311	19
TRIL	-13.48241174	-2.209061414	TRIL	0	-0.521346695	10
VPS25	-0.874043511	-13.50565456	VPS25	0	0.174763048	22
NOC2L	0.314085351	-7.903254912	NOC2L	0	0.136724956	6
PHIP	9.7476981	15.99042259	PHIP	0	0.172516266	3
CCDC106	-4.792536858	-11.87804026	CCDC106	0	-0.301319821	7
GNAI3	8.750449967	4.9855183	GNAI3	0	0.237920748	19
RPP40	-1.743194026	-13.83772801	RPP40	0	-0.250314974	6
TMEM266	13.4168779	1.952267917	TMEM266	0	-0.272046169	16
INPP4B	11.25070527	19.12269424	INPP4B	0	-1.003475461	5
GART	4.126535768	-0.217730475	GART	0	0.152597601	12
GON4L	7.701467701	6.644426495	GON4L	0	0.247268296	13
MAN1C1	5.923357144	10.66965806	MAN1C1	0	-0.266023581	19
ZDHHC7	0.535436434	-3.116008455	ZDHHC7	0	0.146303442	9
GCSH	-10.70338181	-5.705994313	GCSH	0	0.197643035	9
PFKFB3	4.777877561	6.636975542	PFKFB3	0	-0.786456379	10
HES5	-14.76404474	0.561613229	HES5	0	0.752038077	5
EML3	-12.91400223	-10.97496195	EML3	0	0.357952379	4
TOM1	0.221958283	-5.494050492	TOM1	0	0.277626309	4
AP2S1	7.728327676	-8.120354803	AP2S1	0	-0.342050143	1
RTN4IP1	4.108438233	0.443122554	RTN4IP1	0	-0.347041133	15
MED28	3.49945663	1.888598624	MED28	0	0.267081541	1
C9orf43	-9.307671875	-10.09805638	C9orf43	0	0.413297717	6
SNAI1	-11.5032513	-11.34566912	SNAI1	0	0.710003776	10
TRAPPC2B	-1.75079676	-14.23305001	TRAPPC2B	0	0.24044932	15
TIGD7	0.469204106	-4.639082148	TIGD7	0	0.344443505	2
SLC12A2	6.285929639	15.67989877	SLC12A2	0	0.243153856	2
NELL2	11.95894326	19.11017038	NELL2	0	0.321505477	2
ELAC1	-2.068917548	-13.70983402	ELAC1	0	-0.258231351	3
XKR9	-0.924242569	2.360854492	XKR9	0	0.38801376	4
PABPC1L2B	-5.830508789	-13.17104788	PABPC1L2B	0	-0.372443172	1
RHBDD3	1.072785628	-5.210979104	RHBDD3	0	-0.191006298	18
NPR3	-9.120819207	2.422553203	NPR3	0	0.601823958	4
DANCR	4.304998427	-9.097225316	DANCR	0	0.169218125	12
NRDC	11.6940373	12.9664389	NRDC	0	-0.163767596	4
TFIP11	-3.664045956	-10.10906512	TFIP11	0	0.129922206	3
IFTAP	6.09221558	-1.216794427	IFTAP	0	-0.247281369	21
ZBBX	2.439030835	6.572469442	ZBBX	0	-0.308024917	4
AMH	-10.32335016	-4.213150683	AMH	0	-0.740592255	15
CBR4	10.46883745	11.69619833	CBR4	0	0.198364951	10
NR4A2	-5.579626482	4.872448181	NR4A2	0	-1.646818832	13
B4GALT6	13.48598482	10.47788833	B4GALT6	0	-0.163557849	17
FAAH2	8.076101949	7.56904866	FAAH2	0	-0.311396763	19
B2M	5.096618807	-6.681662788	B2M	0	0.376530617	17
SERTM2	-13.00784393	-7.476133644	SERTM2	0	-0.578270774	3
ZNF23	-3.070257188	-6.80424173	ZNF23	0	-0.205844077	20
CNDP1	-6.070604737	8.583046526	CNDP1	0	-0.465183871	14
ADORA2B	-10.18766378	-1.288570321	ADORA2B	0	0.507739897	5
ZNF426	-2.463708305	-7.483845594	ZNF426	0	0.513013695	1
SPATA4	-9.226249862	-8.994369324	SPATA4	0	0.630086451	6
ME1	11.59118866	12.49767223	ME1	0	-0.522325921	3
UROC1	-12.71147457	-9.746757864	UROC1	0	-0.572588045	9
NDFIP2	6.249578405	12.44886234	NDFIP2	0	0.204764366	4
ZNF697	-0.985454579	-0.72841491	ZNF697	0	-0.236768368	19
DCBLD2	2.671045314	9.1466653	DCBLD2	0	0.408192016	15
MRPL28	0.286731206	-12.85142421	MRPL28	0	-0.281555982	2
ELAPOR2	5.371565998	15.15201458	ELAPOR2	0	-0.405489301	9
ZNF391	-1.945308661	-1.593320213	ZNF391	0	0.387511561	10
ZFP30	5.670131135	2.033333678	ZFP30	0	-0.264029493	4
MYBPHL	-9.270250678	-2.701451508	MYBPHL	0	-0.931713085	16
HK3	-11.4419234	-8.455133103	HK3	0	-0.503844188	27
SLC24A1	-15.29566692	-8.519269828	SLC24A1	0	0.306722994	9
ARMC2	8.741800805	11.50633938	ARMC2	0	-0.381247339	1
PRPSAP2	4.091057018	2.279043189	PRPSAP2	0	-0.193584456	1
NLRP1	-9.37702699	1.787516895	NLRP1	0	0.691036235	3
ARHGAP42	-1.673263831	9.239548099	ARHGAP42	0	0.734055019	10
PORCN	-4.325145162	-10.98971436	PORCN	0	-0.14095907	5
ADHFE1	-4.523725523	-1.444618218	ADHFE1	0	0.550038344	17
POP5	-0.369047806	-13.24964787	POP5	0	-0.204648595	18
PIAS2	10.99631787	13.17541509	PIAS2	0	-0.140012712	4
EIF5A2	-3.845101169	-12.86110501	EIF5A2	0	0.352310838	5
MAGOH	-16.72257657	-8.67936699	MAGOH	0	0.276795647	2
ZNF552	-2.517307881	-5.115338888	ZNF552	0	-0.31535566	11
DDX27	-0.063150377	-5.011459155	DDX27	0	0.162598431	7
EFNA2	-10.88732871	-2.908474089	EFNA2	0	-0.245418038	7
PDE1B	12.16633589	2.898431465	PDE1B	0	-0.535436446	14
DEAF1	7.065474167	7.63929505	DEAF1	0	-0.279158219	3
LRFN1	-4.865347234	-11.95932134	LRFN1	0	-0.243769784	11
SNHG10	-2.567399822	-2.905187564	SNHG10	0	0.313379895	22
FNDC3B	3.325649877	10.50165716	FNDC3B	0	0.327891547	6
WFDC3	-10.01742836	-8.100284726	WFDC3	0	0.598581783	9
BIRC6	10.08620588	16.523929	BIRC6	0	0.241837555	1
ASB8	5.769358716	-1.869970794	ASB8	0	-0.187392504	5
MLF2	9.043326173	-4.612480792	MLF2	0	0.179819123	18
FAM8A1	5.220762963	-2.798285931	FAM8A1	0	0.33178084	1
LIPH	-9.333782345	-1.194287398	LIPH	0	-0.847754221	2
MANBAL	0.976859671	-12.11926877	MANBAL	0	-0.180314829	19
CELF1	9.598752815	14.15460139	CELF1	0	-0.129288116	25
MROH8	2.664636838	1.259656496	MROH8	0	0.209662041	10
BRD3	2.29035188	-8.680390696	BRD3	0	0.331820154	8
WASL	11.05517697	5.81361431	WASL	0	0.247074293	3
FOXP3	-12.20880342	-9.416583168	FOXP3	0	-0.330059089	10
EFEMP2	-13.79540377	-4.600342809	EFEMP2	0	0.567117895	2
ILK	3.998837194	-6.271839284	ILK	0	0.191777314	10
TOB1-AS1	-4.716899304	-3.413875303	TOB1-AS1	0	-0.264276049	6
GPATCH8	10.52275302	16.82185597	GPATCH8	0	0.248612533	8
DCK	-4.827332053	-13.2920024	DCK	0	-0.260362484	14
LMO1	-9.009667691	1.680104217	LMO1	0	-0.368699734	19
ANKRD52	1.323229881	-2.204637313	ANKRD52	0	-0.290152416	5
ATP8B3	-11.19949247	-11.11380684	ATP8B3	0	0.522796725	19
RASL11A	-15.14242678	-12.62460142	RASL11A	0	-0.354136512	9
CDH10	11.77029862	19.26042496	CDH10	0	-0.28305341	5
INPP5B	7.734458511	7.525818607	INPP5B	0	-0.205619259	1
C15orf61	2.653840338	-8.228425043	C15orf61	0	-0.328178654	15
CCDC142	-8.137020842	-8.374990838	CCDC142	0	-0.270561806	10
ATP5F1C	9.161452754	-6.724779407	ATP5F1C	0	-0.17069717	19
CTBP2	2.875084977	10.08711983	CTBP2	0	0.224642177	20
RBM22	1.151938245	-11.58839684	RBM22	0	0.185914774	5
ADARB2	-0.302896325	10.56881898	ADARB2	0	-0.722316164	20
TGFBR3L	3.808476243	-9.389305428	TGFBR3L	0	-0.479637759	6
TCEAL4	8.624637735	-7.409010433	TCEAL4	0	-0.280546888	6
KPNA3	10.90841403	10.6591343	KPNA3	0	0.145959661	2
PHYHIPL	5.108676719	16.08751539	PHYHIPL	0	-0.269427879	18
NEDD8	8.863057002	-7.103505078	NEDD8	0	-0.197821966	17
STAU1	8.550938626	6.941361035	STAU1	0	0.143427285	2
IFITM10	-10.29782758	-0.537237137	IFITM10	0	-0.294165338	4
HOMER1	7.87380514	13.65469512	HOMER1	0	-0.345437488	13
ZNF543	-7.691767354	-8.799649515	ZNF543	0	0.588674368	10
TRMT10A	-6.489331408	-7.688008201	TRMT10A	0	0.199165045	4
SLC5A10	-11.35193575	-8.229913293	SLC5A10	0	-0.55033218	2
ATAD2B	8.76285196	9.286731501	ATAD2B	0	0.232436858	3
EMSY	9.143376257	7.824691797	EMSY	0	0.222356533	9
NDP	-9.642051891	-0.423972844	NDP	0	0.473138547	1
PROM1	-8.500905664	2.741919058	PROM1	0	1.028408488	4
NDUFB2-AS1	-10.77296673	-12.02356073	NDUFB2-AS1	0	-0.686877097	2
UBQLN4	-6.474554997	-15.08984475	UBQLN4	0	-0.111113327	5
MPZL3	-7.890208499	-5.731703586	MPZL3	0	-0.824721838	2
MKLN1-AS	-6.805715034	-7.567473308	MKLN1-AS	0	-0.623752182	9
CRY2	5.232465131	4.81422115	CRY2	0	0.21472058	4
PAK3	11.36836132	18.21482556	PAK3	0	-0.499098345	12
CEBPA	-14.46110578	-5.208473765	CEBPA	0	0.269841153	2
CRK	4.122514889	3.995963827	CRK	0	0.601337111	3
IRX5	-13.83681065	-5.677089825	IRX5	0	0.718555848	16
CSRNP3	11.0010727	18.08238964	CSRNP3	0	-0.317445103	25
TXNDC16	3.663664735	15.37928232	TXNDC16	0	0.281860455	2
FKBP1B	4.038707172	-12.52020423	FKBP1B	0	-0.321103582	9
LOXL3	-9.729642375	-0.760616189	LOXL3	0	0.19454709	16
FOXS1	-14.5120106	-2.772021293	FOXS1	0	0.475094103	19
RPL31	10.47617978	-8.87998118	RPL31	0	0.349057777	17
ABL1	8.873625646	10.83092589	ABL1	0	0.172331101	17
MTOR	8.450615201	7.642624188	MTOR	0	0.229502626	11
DUS2	-3.306607168	-3.840027202	DUS2	0	-0.204865899	23
HACE1	10.5918084	10.62603408	HACE1	0	-0.257500889	4
PHOSPHO2	-9.004385679	-10.95367789	PHOSPHO2	0	-0.398894746	2
COA5	1.733559153	-10.28496724	COA5	0	0.078495604	10
PDGFD	15.78535369	12.2136672	PDGFD	0	-0.548551213	2
NTHL1	-0.397628734	-13.50564726	NTHL1	0	-0.355597274	10
TCF4	8.889336172	19.1558418	TCF4	0	-0.663477121	11
XRCC6	8.533327248	-3.104431663	XRCC6	0	0.177553924	10
RNPEP	-1.672164633	-4.347791998	RNPEP	0	0.121192242	7
LBHD1	-8.368252571	-14.11166321	LBHD1	0	-0.338497203	1
UQCRH	9.981763641	-6.551681814	UQCRH	0	-0.259770062	20
PLA2G15	-3.410838799	-9.445009458	PLA2G15	0	-0.14063492	5
IRF7	-12.24630354	-12.51356161	IRF7	0	1.84066194	6
ZNF767P	7.641836574	7.875956667	ZNF767P	0	-0.282961931	10
LRRC25	-12.53668127	-5.613769303	LRRC25	0	0.933579217	18
TINCR	-9.02497903	-4.070136788	TINCR	0	0.553555003	10
CLDN9	-11.82374803	-11.92814446	CLDN9	0	-0.832773423	2
SMIM14	8.725859073	6.708311964	SMIM14	0	0.226669341	1
NFKBIE	-8.063313102	-12.25875506	NFKBIE	0	-0.22795951	19
TEX29	-5.767756242	-5.213802512	TEX29	0	0.73751896	20
NUDT16	-1.474229842	-12.2999383	NUDT16	0	0.336703244	5
SLC40A1	-9.938423049	0.016487379	SLC40A1	0	0.471101899	9
LINC01315	-13.17467613	-5.739068235	LINC01315	0	0.500002332	2
ZPLD1	-9.540648194	-0.107574779	ZPLD1	0	-0.761949567	2
RHOB	-14.71195607	1.310772622	RHOB	0	-0.189163355	9
MIR1247	2.473780405	9.010693593	MIR1247	0	0.532030015	2
TBC1D25	-3.848335962	-5.442496431	TBC1D25	0	-0.149029824	2
LRPPRC	11.55869013	11.50361146	LRPPRC	0	0.172243007	10
HACD1	-4.731931091	2.104716061	HACD1	0	-0.471015483	19
FXYD1	-14.60550796	0.454233361	FXYD1	0	-0.642543785	17
DBX2	-9.838958439	-0.819117094	DBX2	0	1.829229257	17
MT-ATP8	-4.693004875	-17.95082552	MT-ATP8	0	-0.393148977	3
MIR21	2.631999377	8.795024016	MIR21	0	-0.401109025	10
TEDC1	-12.06547884	-11.68707039	TEDC1	0	-0.400309287	15
ZBTB45	-6.955040031	-12.48728214	ZBTB45	0	-0.163840872	6
GPC1	11.03405978	0.313588147	GPC1	0	-0.216054775	5
FAM86B1	-10.98493523	-8.940721714	FAM86B1	0	-0.363059997	19
CACHD1	1.678129976	12.8938968	CACHD1	0	0.320834059	9
CTPS2	-3.67618082	3.189774074	CTPS2	0	0.32334098	1
GLB1L3	5.695889915	5.314955695	GLB1L3	0	-1.10004485	23
THSD4	2.145531864	10.98867439	THSD4	0	0.526388635	2
CYP2U1	6.837920469	0.884718811	CYP2U1	0	0.192545306	17
PHYH	-1.382062356	-12.11209557	PHYH	0	0.287447266	6
ZFAS1	10.01447992	-9.10008513	ZFAS1	0	0.261327005	4
PRELID2	15.87217948	12.10456745	PRELID2	0	0.279090366	7
GPR35	-12.40383949	-10.43483014	GPR35	0	-0.334028011	3
GCLM	8.781427197	1.459853167	GCLM	0	0.25410222	22
USB1	-3.502250194	-7.453341163	USB1	0	-0.131598042	4
PCDHAC2	-14.17655636	-10.48409358	PCDHAC2	0	0.616856883	1
ECD	5.474484208	0.898403235	ECD	0	0.173301254	4
PPP1R3C	-14.82764266	0.191451646	PPP1R3C	0	0.970169118	10
RC3H1	10.90447282	12.64162981	RC3H1	0	0.281911717	2
TUBG2	10.33699904	0.539267768	TUBG2	0	-0.1911816	10
SLC46A1	-7.156254984	-11.30253972	SLC46A1	0	0.189407145	1
ZNF638	9.626957228	17.30915647	ZNF638	0	-0.168328397	5
RPP38	1.079697616	-4.415208103	RPP38	0	0.154994177	9
ZNF582	-6.630276643	-8.12487126	ZNF582	0	0.370947756	13
LRP3	3.664837245	-2.730265244	LRP3	0	-0.197949949	9
TRIM14	1.647957587	1.607014097	TRIM14	0	0.429708468	17
GDAP1L1	3.339615377	2.958706765	GDAP1L1	0	-0.289604247	10
IQCF4P	-12.66902905	-13.57472056	IQCF4P	0	-0.831703197	6
RGPD1	-8.262836022	-7.564008846	RGPD1	0	0.451988374	3
LRRC63	-6.079733754	7.891962043	LRRC63	0	-0.80816937	2
NWD1	-10.01053567	5.075372958	NWD1	0	-0.497873157	4
CSTF3-DT	-10.03900007	-2.606041586	CSTF3-DT	0	0.626845955	6
CHD4	9.704877325	1.779466768	CHD4	0	0.2029252	10
PHF23	-3.506566333	-14.08607489	PHF23	0	-0.245976973	5
ZNF354B	-2.112797856	-5.208397956	ZNF354B	0	0.312389004	3
